City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,54.18,65,80,12.88,AU,2023-10-29 15:23:06
1,thompson,55.7435,-97.8558,26.76,63,75,11.5,CA,2023-10-29 15:23:07
2,grytviken,-54.2811,-36.5092,41.67,95,100,7.18,GS,2023-10-29 15:23:07
3,mingshui,36.7167,117.5,63.28,47,55,10.83,CN,2023-10-29 15:23:07
4,isafjordur,66.0755,-23.124,34.02,80,36,3.4,IS,2023-10-29 15:23:08
5,tiksi,71.6872,128.8694,6.69,96,97,5.93,RU,2023-10-29 15:23:08
6,longyearbyen,78.2186,15.6401,24.64,86,75,5.75,SJ,2023-10-29 15:21:34
7,guerrero negro,27.9769,-114.0611,75.87,47,0,8.77,MX,2023-10-29 15:23:08
8,tan-tan,28.438,-11.1032,68.76,70,98,4.9,MA,2023-10-29 15:23:08
9,danielskuil,-28.1887,23.5395,54.54,16,0,19.73,ZA,2023-10-29 15:23:09
10,uturoa,-16.7333,-151.4333,78.89,80,15,14.67,PF,2023-10-29 15:23:09
11,st. john's,47.5649,-52.7093,45.97,68,75,23.02,CA,2023-10-29 15:23:09
12,kamina,-8.7386,24.9906,71.4,75,97,3.51,CD,2023-10-29 15:23:09
13,el jadid,33.2549,-8.506,67.24,70,100,10.02,MA,2023-10-29 15:23:10
14,garachico,28.7781,-17.7646,69.91,64,20,0.0,ES,2023-10-29 15:23:10
15,waitangi,-43.9535,-176.5597,54.82,77,4,1.01,NZ,2023-10-29 15:23:10
16,carnarvon,-24.8667,113.6333,66.06,78,0,26.33,AU,2023-10-29 15:23:10
17,ust'-ordynskiy,52.805,104.7508,17.33,60,28,5.39,RU,2023-10-29 15:23:10
18,georgetown,5.4112,100.3354,77.02,97,20,1.14,MY,2023-10-29 15:23:11
19,dabwali,29.95,74.7333,72.39,32,2,5.86,IN,2023-10-29 15:23:11
20,papatowai,-46.5619,169.4708,51.94,58,13,2.1,NZ,2023-10-29 15:23:11
21,bethel,41.3712,-73.414,50.36,87,100,8.05,US,2023-10-29 15:23:11
22,lethem,3.3803,-59.7968,93.15,40,100,11.86,GY,2023-10-29 15:23:12
23,albany,42.6001,-73.9662,44.51,92,100,3.49,US,2023-10-29 15:23:12
24,merizo village,13.2658,144.6691,82.13,94,8,8.19,GU,2023-10-29 15:23:12
25,kani keli,-12.9536,45.1033,79.86,84,2,5.66,YT,2023-10-29 15:23:12
26,uto,32.6833,130.6667,57.18,71,0,3.69,JP,2023-10-29 15:23:13
27,adamstown,-25.066,-130.1015,72.1,84,99,15.46,PN,2023-10-29 15:23:13
28,olyokminsk,60.3736,120.4264,17.08,69,23,4.43,RU,2023-10-29 15:23:13
29,east london,-33.0153,27.9116,58.69,63,96,10.6,ZA,2023-10-29 15:22:42
30,edinburgh of the seven seas,-37.0676,-12.3116,52.12,63,99,26.89,SH,2023-10-29 15:23:13
31,belmonte,-15.8631,-38.8828,78.51,70,38,10.94,BR,2023-10-29 15:23:14
32,yellowknife,62.456,-114.3525,26.42,76,100,11.5,CA,2023-10-29 15:23:14
33,aykhal,66.0,111.5,-13.52,99,50,5.55,RU,2023-10-29 15:23:14
34,bilibino,68.0546,166.4372,-10.07,92,9,4.88,RU,2023-10-29 15:23:14
35,qaqortoq,60.7167,-46.0333,39.69,63,100,13.62,GL,2023-10-29 15:23:15
36,el fasher,13.6279,25.3494,85.35,15,13,8.34,SD,2023-10-29 15:23:15
37,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,75,8.95,RU,2023-10-29 15:23:15
38,puerto natales,-51.7236,-72.4875,46.85,46,75,23.02,CL,2023-10-29 15:23:15
39,yeed,4.55,43.0333,73.44,88,100,13.29,SO,2023-10-29 15:23:15
40,port-aux-francais,-49.35,70.2167,35.2,83,100,26.53,TF,2023-10-29 15:23:16
41,katsuura,35.1333,140.3,59.14,66,0,12.03,JP,2023-10-29 15:23:16
42,tierp,60.3427,17.5181,33.96,83,69,2.71,SE,2023-10-29 15:23:16
43,ust-nera,64.5667,143.2,-0.26,98,61,1.86,RU,2023-10-29 15:23:16
44,boa vista,2.8197,-60.6733,96.78,36,40,11.5,BR,2023-10-29 15:22:01
45,keflavik,64.0049,-22.5624,39.63,75,0,6.91,IS,2023-10-29 15:23:17
46,usinsk,65.9939,57.5281,11.07,87,100,5.99,RU,2023-10-29 15:23:17
47,kodiak,57.79,-152.4072,45.91,100,100,12.66,US,2023-10-29 15:23:17
48,avarua,-21.2078,-159.775,75.25,64,14,14.97,CK,2023-10-29 15:23:18
49,wallan,-37.4167,144.9833,52.95,94,100,4.36,AU,2023-10-29 15:23:18
50,puerto ayora,-0.7393,-90.3518,85.96,86,43,8.01,EC,2023-10-29 15:23:18
51,jamestown,42.097,-79.2353,47.79,96,100,9.22,US,2023-10-29 15:22:42
52,tolanaro,-25.0319,46.9987,75.27,73,0,11.5,MG,2023-10-29 15:23:19
53,polyarnyy,69.1989,33.4478,20.32,90,100,4.34,RU,2023-10-29 15:23:19
54,grand baie,-20.0182,57.5802,75.67,75,1,1.99,MU,2023-10-29 15:23:19
55,verkhotur'ye,58.8627,60.8054,23.56,92,100,11.18,RU,2023-10-29 15:21:20
56,blackmans bay,-43.0167,147.3167,55.72,61,98,1.99,AU,2023-10-29 15:23:19
57,brackley,52.0333,-1.15,49.32,91,10,1.01,GB,2023-10-29 15:23:20
58,ushuaia,-54.8,-68.3,35.26,93,40,25.01,AR,2023-10-29 15:21:32
59,iqaluit,63.7506,-68.5145,19.13,63,75,10.36,CA,2023-10-29 15:23:20
60,westport,41.1415,-73.3579,53.58,90,100,9.22,US,2023-10-29 15:23:20
61,ribeira grande,38.5167,-28.7,61.2,67,40,8.05,PT,2023-10-29 15:23:20
62,cidreira,-30.1811,-50.2056,71.22,86,64,8.93,BR,2023-10-29 15:23:21
63,az zuwaytinah,30.9522,20.1202,73.99,63,5,12.59,LY,2023-10-29 15:23:21
64,camocim,-2.9022,-40.8411,85.26,58,71,20.38,BR,2023-10-29 15:23:15
65,new norfolk,-42.7826,147.0587,56.91,67,99,9.4,AU,2023-10-29 15:23:21
66,pangkalan brandan,4.0238,98.2782,73.76,95,100,1.7,ID,2023-10-29 15:23:22
